StationName,ObservationDate,Year,Precipitation,PrecipitationRank
WASHINGTON REAGAN NATIONAL AIRPORT VA US,00:00.0,1959,1.14,73
MIAMI INTERNATIONAL AIRPORT FL US,00:00.0,1959,2.24,47
WASHINGTON REAGAN NATIONAL AIRPORT VA US,00:00.0,1959,1.55,12
MIAMI INTERNATIONAL AIRPORT FL US,00:00.0,1959,3.14,9
CHICAGO MIDWAY AIRPORT IL US,00:00.0,1959,1.67,67
CHICAGO MIDWAY AIRPORT IL US,00:00.0,1959,2.06,53
PHILADELPHIA INTERNATIONAL AIRPORT PA US,00:00.0,1959,1.47,41
WASHINGTON REAGAN NATIONAL AIRPORT VA US,00:00.0,1959,1.54,13
DETROIT CITY AIRPORT MI US,00:00.0,1959,1.11,46
DETROIT CITY AIRPORT MI US,00:00.0,1959,1.1,48
DETROIT CITY AIRPORT MI US,00:00.0,1959,0.87,80
DETROIT CITY AIRPORT MI US,00:00.0,1959,1.34,18
MIAMI INTERNATIONAL AIRPORT FL US,00:00.0,1959,3.29,7
DETROIT CITY AIRPORT MI US,00:00.0,1959,1.41,14
BOSTON MA US,00:00.0,1960,1.54,85
CHICAGO MIDWAY AIRPORT IL US,00:00.0,1960,1.83,57
PHILADELPHIA INTERNATIONAL AIRPORT PA US,00:00.0,1960,1.3,72
ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,00:00.0,1960,1.61,56
DETROIT CITY AIRPORT MI US,00:00.0,1960,0.9,74
MIAMI INTERNATIONAL AIRPORT FL US,00:00.0,1960,2.25,45
LOS ANGELES INTERNATIONAL AIRPORT CA US,00:00.0,1960,0.56,59
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,00:00.0,1961,0.6,24
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,00:00.0,1961,0.47,56
WASHINGTON REAGAN NATIONAL AIRPORT VA US,00:00.0,1961,1.31,36
PHILADELPHIA INTERNATIONAL AIRPORT PA US,00:00.0,1961,1.31,68
DETROIT CITY AIRPORT MI US,00:00.0,1961,0.97,58
